ts,mid,spread_bps,trend_bps_per_sec,trend_angle_deg,bid_pressure_total_usd,ask_pressure_total_usd,pressure_imbalance,strongest_bid_usd,strongest_bid_dist_usd,strongest_ask_usd,strongest_ask_dist_usd,bid_p_0_10,bid_p_10_25,bid_p_25_50,bid_p_50_100,bid_p_100_200,ask_p_0_10,ask_p_10_25,ask_p_25_50,ask_p_50_100,ask_p_100_200,bid_wall_half_life_ms,ask_wall_half_life_ms,burst_count_3s,burst_buy_usd_3s,burst_sell_usd_3s,burst_imbalance_3s,target_ok_long,target_ok_short,pressure_ok_long,pressure_ok_short,in_long_hint,in_short_hint
1771599605520,67068.50,0.1491,0.515109,27.2534,647246.12,3304932.58,-0.672461,225857.89,20.50,856189.44,0.50,194796.71,452449.40,0.00,0.00,0.00,1329166.77,1975765.81,0.00,0.00,0.00,0,606,13,604.26,2927.42,-0.657804,0,1,0,1,0,0
1771599606139,67065.50,0.1491,0.407997,22.1953,468618.33,9469733.46,-0.905695,219717.56,16.50,1865227.83,1.50,113725.46,354892.87,0.00,0.00,0.00,6310883.72,3158849.74,0.00,0.00,0.00,506,1121,9,604.26,2513.60,-0.612385,0,0,0,1,0,0
1771599606631,67065.50,0.1491,0.332939,18.4146,553325.68,5500285.35,-0.817192,219717.56,16.50,949551.95,0.50,139760.40,413565.27,0.00,0.00,0.00,2224483.22,3275802.13,0.00,0.00,0.00,506,515,6,53.65,2490.80,-0.957828,0,0,0,1,0,0
1771599607178,67065.50,0.1491,0.276208,15.4406,138037.70,6810243.68,-0.960267,53827.61,16.50,2250902.63,0.50,784.60,137253.10,0.00,0.00,0.00,3585525.88,3224717.80,0.00,0.00,0.00,506,515,5,73.77,28.17,0.447359,0,0,0,1,0,0
1771599607699,67065.50,0.1491,0.232887,13.1098,935314.20,4191646.87,-0.635139,483854.54,21.50,1462523.69,0.50,717.54,934596.66,0.00,0.00,0.00,2495553.02,1696093.86,0.00,0.00,0.00,0,515,3,20.12,28.17,-0.166678,0,1,0,1,0,0
1771599608241,67053.50,0.1491,0.127857,7.2861,1933447.94,7784725.00,-0.602096,275072.58,12.50,1769718.16,12.50,528442.70,1405005.24,0.00,0.00,0.00,3456467.96,4328257.04,0.00,0.00,0.00,0,515,33,20.12,32498.59,-0.998763,0,0,0,1,0,0
1771599608787,67053.50,0.1491,0.052789,3.0218,2247592.31,3232843.87,-0.179776,561700.30,0.50,789079.11,12.50,1155467.85,1092124.46,0.00,0.00,0.00,1703840.13,1529003.75,0.00,0.00,0.00,507,515,33,20.12,32498.59,-0.998763,0,0,0,1,0,0
1771599609369,67053.50,0.1491,-0.001440,-0.0825,2018628.01,2385981.85,-0.083402,245207.88,14.50,789099.23,12.50,804542.42,1214085.59,0.00,0.00,0.00,796478.90,1589502.96,0.00,0.00,0.00,509,515,34,52.31,32487.86,-0.996785,0,0,0,0,0,0
1771599609907,67053.50,0.1491,-0.040192,-2.3016,1173058.79,2774776.84,-0.405721,202829.48,17.50,581687.42,0.50,354647.54,818411.25,0.00,0.00,0.00,1094302.56,1680474.28,0.00,0.00,0.00,509,1128,40,126328.39,32499.93,0.590754,0,0,0,1,0,0
1771599610455,67050.50,0.1491,-0.079482,-4.5444,858224.70,10801816.62,-0.852792,176383.98,18.50,2884468.42,1.50,81063.21,777161.49,0.00,0.00,0.00,8432710.35,2369106.27,0.00,0.00,0.00,0,0,47,126343.15,32711.81,0.588673,0,0,0,1,0,0
1771599610984,67047.50,1.0440,-0.118060,-6.7332,804795.69,11550525.04,-0.869725,245042.91,28.50,2870579.94,4.50,1111.53,450892.28,352791.88,0.00,0.00,9496016.26,2054508.78,0.00,0.00,0.00,0,529,52,126343.15,35168.52,0.564508,0,1,0,1,0,1
1771599611538,67041.00,1.1933,-0.166573,-9.4571,1292960.37,9080400.92,-0.750715,263803.71,24.00,2852472.54,11.00,224098.01,884781.26,184081.10,0.00,0.00,365768.53,8714632.40,0.00,0.00,0.00,572,1083,26,126723.32,2992.41,0.953862,0,1,0,1,0,1
1771599612098,67044.50,0.1492,-0.191462,-10.8388,3375989.47,1107736.66,0.505886,827870.04,0.50,242770.34,19.50,1969128.12,1406861.36,0.00,0.00,0.00,171280.37,897522.83,38933.46,0.00,0.00,542,546,26,126691.14,74505.56,0.259376,0,0,1,0,0,0
1771599612653,67045.50,0.1492,-0.206009,-11.6406,5003849.93,1644470.48,0.505297,2086009.30,0.50,287790.40,18.50,3612877.80,1390972.12,0.00,0.00,0.00,105398.14,1258425.81,280646.53,0.00,0.00,0,546,21,649.73,74493.49,-0.982707,0,0,1,0,0,0
1771599613161,67049.50,0.1491,-0.205564,-11.6161,6074060.90,1646098.51,0.573558,1494439.74,0.50,287790.40,14.50,4451710.23,1622350.66,0.00,0.00,0.00,149233.17,1496865.34,0.00,0.00,0.00,506,546,16,411.02,74304.41,-0.988998,0,0,1,0,0,0
1771599613675,67049.50,0.1491,-0.203583,-11.5072,4522692.82,1724648.15,0.447878,1595135.94,0.50,287790.40,14.50,2854146.23,1668546.59,0.00,0.00,0.00,129434.04,1595214.11,0.00,0.00,0.00,506,546,16,411.02,74313.79,-0.988999,0,0,1,0,0,0
1771599614266,67049.50,0.1491,-0.200259,-11.3242,3121744.38,1578043.27,0.328462,770324.62,0.50,297900.54,21.50,1464936.68,1656807.70,0.00,0.00,0.00,187583.51,1390459.76,0.00,0.00,0.00,506,542,9,30.84,71857.09,-0.999142,1,0,1,0,0,0
1771599614778,67049.50,0.1491,-0.196232,-11.1022,3333040.01,1610443.09,0.348458,830157.14,0.50,297900.54,21.50,1513992.71,1819047.30,0.00,0.00,0.00,154016.57,1456426.51,0.00,0.00,0.00,506,542,9,567.24,485.43,0.077713,1,0,1,0,0,0
1771599615281,67049.50,0.1491,-0.191756,-10.8550,3163995.91,1558457.67,0.339980,748095.87,0.50,220075.42,11.50,1279295.36,1884700.55,0.00,0.00,0.00,568684.72,989772.96,0.00,0.00,0.00,506,546,10,606.13,485.43,0.110571,0,0,1,0,0,0
1771599615882,67052.50,0.1491,-0.181466,-10.2853,4705790.60,1891873.56,0.426502,958884.50,0.50,414990.56,19.50,3289876.08,1415914.53,0.00,0.00,0.00,300742.06,1591131.51,0.00,0.00,0.00,507,1105,10,606.13,485.43,0.110572,0,0,1,0,0,0
1771599616489,67052.50,0.1491,-0.171761,-9.7461,4183609.97,1127326.20,0.575470,1715191.50,0.50,183498.77,16.50,2202572.34,1981037.62,0.00,0.00,0.00,81617.92,1045708.28,0.00,0.00,0.00,507,606,8,610.16,453.25,0.147549,0,0,1,0,0,0
1771599617012,67065.50,0.1491,-0.142727,-8.1228,12983302.10,201202.94,0.969479,3795302.11,13.50,112660.23,32.50,3278393.41,9704908.69,0.00,0.00,0.00,260.22,7315.04,193627.68,0.00,0.00,507,0,21,1164.72,498.18,0.400834,1,0,1,0,0,0
1771599617543,67079.50,0.1491,-0.097589,-5.5738,4202918.32,878790.89,0.654136,1371440.35,14.50,185589.71,18.50,1547804.82,2655113.50,0.00,0.00,0.00,5577.09,702883.59,170330.21,0.00,0.00,595,0,39,3162.89,498.18,0.727852,0,0,1,0,0,0
1771599618135,67079.50,0.1491,-0.059265,-3.3917,4002312.94,1170311.44,0.547498,1739844.12,0.50,347307.97,25.50,2465565.80,1536747.15,0.00,0.00,0.00,55993.80,767009.67,347307.97,0.00,0.00,592,592,34,2587.60,65.05,0.950956,1,0,1,0,0,0
1771599618631,67079.50,0.1491,-0.027081,-1.5513,5897165.99,219378.56,0.928267,3223378.71,0.50,50330.17,9.50,3467478.66,2429687.34,0.00,0.00,0.00,55895.86,162861.98,620.72,0.00,0.00,1088,0,36,2685.54,65.05,0.952702,0,0,1,0,0,0
1771599619147,67090.50,0.1491,0.013529,0.7751,11819320.62,1002964.39,0.843559,2395211.99,11.50,275247.86,22.50,7268142.08,4551178.54,0.00,0.00,0.00,1675.46,1001288.94,0.00,0.00,0.00,1604,0,47,8667.18,136.15,0.969068,1,0,1,0,1,0
1771599619667,67102.50,0.1490,0.061695,3.5304,7811363.16,1743624.03,0.635034,2339575.21,11.50,283008.14,10.50,3317470.48,4493892.69,0.00,0.00,0.00,578828.55,1164795.48,0.00,0.00,0.00,0,520,63,15997.34,91.23,0.988659,0,0,1,0,0,0
1771599620274,67102.50,0.1490,0.102667,5.8618,2016923.76,1754783.70,0.069502,847005.73,0.50,276219.11,19.50,1012751.68,1004172.09,0.00,0.00,0.00,680795.81,1073987.89,0.00,0.00,0.00,607,607,37,13961.97,167.05,0.976353,0,0,0,0,0,0
1771599620780,67102.50,0.1490,0.137174,7.8108,1707783.79,1941150.98,-0.063955,392225.28,0.50,282300.31,0.50,536338.25,1171445.54,0.00,0.00,0.00,861363.12,1079787.86,0.00,0.00,0.00,1113,506,36,13961.97,146.93,0.979172,0,0,0,0,0,0
1771599621296,67102.50,0.1490,0.166254,9.4393,2960838.21,1022660.26,0.486552,723044.85,0.50,321175.41,19.50,1369697.02,1591141.19,0.00,0.00,0.00,45345.83,977314.43,0.00,0.00,0.00,1113,1629,37,13961.97,367.02,0.948772,0,0,1,0,0,0
1771599621819,67116.50,0.1490,0.203954,11.5276,12822016.09,286982.60,0.956216,2660813.72,14.50,123467.60,24.50,6871467.39,5950548.71,0.00,0.00,0.00,1306.85,285675.75,0.00,0.00,0.00,1113,0,49,16636.44,346.90,0.959148,1,0,1,0,1,0
1771599622381,67117.50,0.1490,0.236842,13.3245,9310791.98,1263514.54,0.761022,4524001.25,0.50,318898.58,16.50,6867557.39,2443234.58,0.00,0.00,0.00,1179.34,1262335.20,0.00,0.00,0.00,0,0,40,10721.94,316.05,0.942733,0,0,1,0,0,0
1771599622878,67125.50,0.1490,0.271487,15.1890,9000659.56,1952232.53,0.643522,2079568.22,5.50,727434.16,19.50,8262078.00,738581.56,0.00,0.00,0.00,57826.60,1894405.94,0.00,0.00,0.00,0,0,36,5790.13,316.05,0.896480,0,0,1,0,0,0
1771599623447,67125.50,0.1490,0.300896,16.7463,4298508.94,2161033.71,0.330902,2595277.37,0.50,603944.43,19.50,3537941.17,760567.77,0.00,0.00,0.00,207709.97,1953323.74,0.00,0.00,0.00,569,569,36,5272.76,602.70,0.794840,0,0,1,0,0,0
1771599623997,67125.50,0.1490,0.325731,18.0420,4480525.69,588934.04,0.767654,2165388.06,0.50,200304.20,21.50,2941986.25,1538539.44,0.00,0.00,0.00,12571.50,576362.54,0.00,0.00,0.00,1119,0,36,5272.76,602.70,0.794840,1,0,1,0,1,0
1771599624514,67126.50,0.1490,0.347354,19.1549,7733023.05,970149.38,0.777058,4492488.10,0.50,283911.42,19.50,6261595.95,1471427.10,0.00,0.00,0.00,1603.80,968545.58,0.00,0.00,0.00,0,0,43,5494.28,34318.83,-0.723996,0,0,1,0,0,0
1771599625021,67126.50,0.1490,0.365464,20.0755,4710497.84,757828.35,0.722830,2179989.35,0.50,242770.13,18.50,2984350.79,1726147.05,0.00,0.00,0.00,1805.20,756023.14,0.00,0.00,0.00,507,1119,28,2721.88,34318.83,-0.853033,0,0,1,0,0,0
1771599625623,67126.00,0.2979,0.380129,20.8132,1152005.11,3213612.18,-0.472237,315086.84,24.00,1006968.77,1.00,113966.20,1038038.92,0.00,0.00,0.00,1597280.68,1616331.50,0.00,0.00,0.00,1113,0,20,2087.60,34545.05,-0.886025,0,1,0,1,0,0
1771599626249,67125.50,0.1490,0.391744,21.3924,374178.34,4176632.51,-0.835555,214165.77,21.50,1641423.35,0.50,35894.28,338284.06,0.00,0.00,0.00,2407905.06,1768727.46,0.00,0.00,0.00,562,0,14,1268.68,34437.65,-0.928938,0,1,0,1,0,0
1771599626749,67125.50,0.1490,0.401136,21.8575,307683.41,4811497.37,-0.879792,95282.62,17.50,1452721.43,0.50,19276.78,288406.63,0.00,0.00,0.00,1875537.12,2935960.25,0.00,0.00,0.00,562,500,14,1690.90,34182.57,-0.905730,0,0,0,1,0,0
1771599627262,67126.00,0.2979,0.408907,22.2400,2918682.74,117065.27,0.922876,655640.75,1.00,75694.38,23.00,1205916.19,1712766.56,0.00,0.00,0.00,1628.64,115436.63,0.00,0.00,0.00,2143,0,14,1489.53,34202.71,-0.916535,1,0,1,0,1,0
1771599627841,67133.50,0.1490,0.419356,22.7510,8441252.36,928274.86,0.801852,3975513.18,7.50,273697.59,21.50,8045521.12,395731.24,0.00,0.00,0.00,16112.63,912162.23,0.00,0.00,0.00,507,0,34,2426.68,286.63,0.788724,1,0,1,0,1,0
1771599628358,67133.50,0.1490,0.427817,23.1620,603131.80,3838921.36,-0.728445,168998.09,13.50,683898.80,12.50,125872.79,477259.01,0.00,0.00,0.00,1294972.59,2543948.77,0.00,0.00,0.00,569,507,37,32523.52,286.63,0.982528,0,0,0,1,0,0
1771599628916,67132.50,0.1490,0.433944,23.4581,198690.50,7207795.64,-0.946347,85782.11,13.50,3974395.11,0.50,11092.42,187598.09,0.00,0.00,0.00,5719139.23,1488656.41,0.00,0.00,0.00,569,0,36,31574.37,60.42,0.996180,0,0,0,1,0,0
1771599629426,67129.50,0.1490,0.437032,23.6069,217443.28,7238645.63,-0.941674,94560.54,21.50,3230065.36,3.50,11340.09,206103.18,0.00,0.00,0.00,4815256.62,2423389.01,0.00,0.00,0.00,562,510,38,31523.35,105.39,0.993336,0,1,0,1,0,0
1771599629967,67127.00,0.5959,0.437705,23.6393,761850.04,6524866.69,-0.790893,180857.45,14.00,2492344.70,2.00,22528.77,739321.27,0.00,0.00,0.00,4342393.61,2182473.08,0.00,0.00,0.00,562,0,49,32888.10,500.77,0.970004,0,0,0,1,0,0
1771599630493,67125.50,0.1490,0.436802,23.5958,1339944.41,2895314.70,-0.367243,343112.37,14.50,565646.64,0.50,350400.47,989543.94,0.00,0.00,0.00,1742741.63,1152573.07,0.00,0.00,0.00,562,1013,51,54820.18,480.63,0.982618,0,0,0,1,0,0
1771599631032,67127.50,0.1490,0.436189,23.5663,6625279.46,2340717.85,0.477868,2989682.62,1.50,951674.04,23.50,5606727.11,1018552.36,0.00,0.00,0.00,48294.91,2292422.94,0.00,0.00,0.00,507,510,27,53883.03,539.70,0.980166,1,0,1,0,1,0
1771599631576,67132.50,0.1490,0.437213,23.6156,5634996.44,2660447.86,0.358576,1208906.02,3.50,681197.27,19.50,4720305.03,914691.42,0.00,0.00,0.00,581841.46,2078606.39,0.00,0.00,0.00,517,1068,27,28449.88,519.56,0.964130,0,0,1,0,0,0
1771599632080,67132.50,0.1490,0.437475,23.6282,124797.50,4192659.57,-0.942189,27685.91,0.50,1752699.64,0.50,85928.13,38869.37,0.00,0.00,0.00,2725302.64,1467356.92,0.00,0.00,0.00,517,1051,29,28382.75,571.25,0.960541,0,0,0,1,0,0
1771599632581,67126.50,0.1490,0.434487,23.4843,231869.59,11824572.31,-0.961536,95106.05,19.50,2429311.05,5.50,27568.79,204300.79,0.00,0.00,0.00,9756615.50,2067956.80,0.00,0.00,0.00,562,626,29,26636.05,586.02,0.956945,0,0,0,1,0,0
1771599633110,67125.50,0.1490,0.430714,23.3022,41131.20,10911288.06,-0.992489,14670.95,21.50,5831128.22,0.50,20676.87,20454.34,0.00,0.00,0.00,9811163.79,1100124.26,0.00,0.00,0.00,562,1013,23,26624.64,1330.43,0.904817,0,1,0,1,0,0
1771599633699,67110.50,0.1490,0.420489,22.8062,1769778.54,10268218.91,-0.705968,533807.12,29.50,3143037.34,15.50,2716.45,372079.45,1394982.64,0.00,0.00,3398383.85,6869835.06,0.00,0.00,0.00,520,1013,52,8766.44,22189.18,-0.433612,0,1,0,1,0,0
1771599634244,67098.50,0.1490,0.405848,22.0897,1896208.16,4756499.53,-0.429944,327869.41,12.50,1264140.86,8.50,551696.92,1344511.24,0.00,0.00,0.00,2469754.18,2286745.35,0.00,0.00,0.00,520,0,144,1350947.41,24574.49,0.964269,0,0,0,1,0,0
1771599634836,67098.50,0.1490,0.391854,21.3979,2265000.94,991452.40,0.391085,327439.80,17.50,181489.10,20.50,897541.39,1367459.56,0.00,0.00,0.00,192184.65,799267.75,0.00,0.00,0.00,520,545,141,1346303.84,24574.49,0.964148,1,0,1,0,1,0
1771599635409,67106.50,0.1490,0.381489,20.8813,8747609.23,1982057.01,0.630546,2293459.88,6.50,319737.73,16.50,7872230.12,875379.12,0.00,0.00,0.00,267177.02,1714880.00,0.00,0.00,0.00,607,545,136,1346974.88,24514.05,0.964252,0,0,1,0,0,0
1771599635962,67106.50,0.1490,0.371509,20.3805,2921302.37,1845485.07,0.225690,818938.81,0.50,327534.06,16.50,1003885.72,1917416.65,0.00,0.00,0.00,239864.83,1605620.25,0.00,0.00,0.00,562,545,135,1347491.60,24120.02,0.964830,0,0,1,0,0,0
1771599636545,67111.50,1.3411,0.363616,19.9821,8771492.75,1960529.81,0.634639,3689297.92,4.50,312712.61,28.50,5992665.19,2778827.57,0.00,0.00,0.00,10.74,632933.59,1327585.49,0.00,0.00,562,507,108,1343842.52,2579.27,0.996169,1,0,1,0,1,0
1771599637059,67115.50,0.1490,0.357340,19.6639,5740629.69,1021131.76,0.697969,1343175.85,0.50,195088.50,17.50,4906582.11,834047.58,0.00,0.00,0.00,20758.89,1000372.86,0.00,0.00,0.00,1059,1051,107,1343727.09,2579.27,0.996168,0,0,1,0,0,0
1771599637671,67122.50,0.1490,0.353410,19.4639,1512800.39,2032780.32,-0.146656,494901.92,0.50,568051.21,0.50,946629.21,566171.18,0.00,0.00,0.00,1063748.69,969031.62,0.00,0.00,0.00,569,545,26,3877.24,100128.54,-0.925442,0,0,0,1,0,0
1771599638201,67118.50,0.4470,0.348110,19.1935,137105.86,10122812.72,-0.973273,90542.73,17.50,2901875.36,3.50,314.75,136791.11,0.00,0.00,0.00,7159359.05,2963453.68,0.00,0.00,0.00,553,2152,23,3206.20,100080.90,-0.937917,0,0,0,1,0,0
1771599638748,67107.50,0.1490,0.339386,18.7465,534040.00,7687147.79,-0.870082,140989.64,17.50,2104178.16,10.50,22735.14,511304.86,0.00,0.00,0.00,2770363.56,4916784.23,0.00,0.00,0.00,1127,545,40,4738.51,102466.61,-0.911599,0,0,0,1,0,0
1771599639298,67106.50,0.1490,0.330675,18.2977,835347.53,6838522.25,-0.782288,232466.52,19.50,1197130.22,1.50,44153.77,791193.76,0.00,0.00,0.00,3684173.95,3154348.30,0.00,0.00,0.00,520,592,37,4214.40,102422.32,-0.920958,0,0,0,1,0,0
1771599639825,67106.50,0.1490,0.322315,17.8649,1339287.77,2729324.75,-0.341649,359458.82,15.50,504529.22,0.50,200060.75,1139227.02,0.00,0.00,0.00,1127434.76,1601889.99,0.00,0.00,0.00,607,592,36,3821.82,102422.32,-0.928056,0,0,0,1,0,0
1771599640430,67107.00,0.2980,0.314354,17.4507,3843216.08,1186884.70,0.528087,1289972.60,1.00,535147.44,25.00,1629909.56,2213306.52,0.00,0.00,0.00,300.67,479346.42,707237.61,0.00,0.00,562,626,28,2414.29,4418.35,-0.293307,1,0,1,0,1,0
1771599640914,67112.50,0.1490,0.308293,17.1341,10507278.17,1754294.12,0.713855,5683255.59,5.50,383467.07,24.50,9366765.09,1140513.09,0.00,0.00,0.00,87795.39,1666498.73,0.00,0.00,0.00,562,497,27,1579.95,4438.48,-0.474963,1,0,1,0,1,0
1771599641423,67117.00,0.2980,0.303646,16.8907,7359996.21,2588883.17,0.479563,1974394.33,1.00,775918.37,15.00,6389692.90,970303.32,0.00,0.00,0.00,780347.63,1808535.53,0.00,0.00,0.00,497,626,26,7341.33,4395.53,0.250987,0,0,1,0,0,0
1771599641925,67117.50,0.1490,0.299217,16.6581,2928805.71,2964112.87,-0.005991,1603324.45,0.50,676562.34,14.50,1899635.84,1029169.87,0.00,0.00,0.00,1381759.93,1582352.94,0.00,0.00,0.00,497,626,13,6804.39,2050.09,0.536937,0,0,0,0,0,0
1771599642441,67117.50,0.1490,0.294851,16.4282,1848669.79,1701249.74,0.041528,507167.69,11.50,339161.25,13.50,608186.15,1240483.64,0.00,0.00,0.00,420535.16,1280714.59,0.00,0.00,0.00,562,626,11,6770.83,2075.60,0.530749,0,0,0,0,0,0
1771599642989,67118.50,0.1490,0.290781,16.2134,12588961.72,1214257.64,0.824062,8793788.28,0.50,352734.88,20.50,9780773.01,2808188.72,0.00,0.00,0.00,2857.56,1211400.08,0.00,0.00,0.00,569,1119,13,6770.83,5454.32,0.107689,1,0,1,0,1,0
1771599643566,67118.50,0.1490,0.286719,15.9986,5144750.00,1647754.70,0.514831,2307874.58,0.50,354178.75,23.50,2970129.04,2174620.96,0.00,0.00,0.00,486.65,1417675.18,229592.87,0.00,0.00,569,1119,9,6756.74,3436.44,0.325737,1,0,1,0,1,0
1771599644252,67118.50,0.1490,0.282603,15.7805,3428294.57,1689119.69,0.339854,1375027.67,0.50,682712.52,22.50,2211798.56,1216496.01,0.00,0.00,0.00,3294.50,1685825.19,0.00,0.00,0.00,569,497,8,6396.34,3456.58,0.298365,1,0,1,0,1,0
1771599644771,67118.50,0.1490,0.278553,15.5653,2748685.17,1229235.66,0.381971,1107666.48,0.50,195055.38,13.50,1629445.05,1119240.12,0.00,0.00,0.00,76993.63,1152242.03,0.00,0.00,0.00,569,626,6,0.00,5658.72,-1.000000,0,0,1,0,0,0
1771599645291,67118.50,0.1490,0.274567,15.3532,3562323.36,1341057.69,0.453007,1596507.68,0.50,259293.00,23.50,2136771.57,1425551.80,0.00,0.00,0.00,495.38,1340562.32,0.00,0.00,0.00,569,1119,7,24.83,5633.21,-0.991222,1,0,1,0,1,0
1771599645859,67121.50,0.1490,0.271294,15.1787,11069321.69,1972348.69,0.697531,3521536.83,0.50,681672.47,27.50,9580032.93,1489288.76,0.00,0.00,0.00,492.03,947705.52,1024151.14,0.00,0.00,569,541,12,106.05,2254.49,-0.910148,1,0,1,0,1,0
1771599646382,67126.50,0.1490,0.269141,15.0637,7772225.59,2346917.01,0.536143,2172945.05,5.50,750707.69,22.50,6880886.80,891338.80,0.00,0.00,0.00,76995.52,2269921.49,0.00,0.00,0.00,569,541,13,287.95,2262.55,-0.774201,1,0,1,0,1,0
1771599646927,67126.50,0.1490,0.266921,14.9450,4233100.44,2269835.87,0.301904,1718306.12,0.50,751254.95,22.50,3122437.73,1110662.72,0.00,0.00,0.00,93374.85,2176461.02,0.00,0.00,0.00,507,541,12,287.95,2242.41,-0.772404,1,0,1,0,1,0
1771599647474,67132.00,1.7875,0.265801,14.8851,4498703.10,3088078.21,0.185932,2062465.82,6.00,870392.72,17.00,2067533.00,2172865.38,258304.72,0.00,0.00,28338.63,2818299.59,241440.00,0.00,0.00,507,541,32,2723.57,2262.55,0.092460,0,0,1,0,0,0
1771599647989,67138.50,0.1489,0.265902,14.8905,5210050.99,3096299.59,0.254474,892605.21,1.50,725828.31,10.50,3910518.47,1299532.52,0.00,0.00,0.00,1021515.48,2074784.11,0.00,0.00,0.00,0,541,36,14648.12,40.27,0.994516,0,0,1,0,0,0
1771599648583,67138.50,0.1489,0.265783,14.8841,2351475.81,3183848.03,-0.150375,1472623.69,0.50,656594.07,20.50,1482190.60,869285.22,0.00,0.00,0.00,938886.78,2244961.25,0.00,0.00,0.00,594,0,30,14572.95,60.42,0.991743,1,0,0,1,0,0
1771599649134,67138.50,0.1489,0.265479,14.8678,1598752.95,3304304.96,-0.347855,637592.13,0.50,602678.95,15.50,671344.99,927407.96,0.00,0.00,0.00,1090677.80,2213627.15,0.00,0.00,0.00,1145,0,29,14553.49,60.42,0.991732,0,0,0,1,0,0
1771599649721,67138.50,0.1489,0.264991,14.8418,2444114.64,2303056.69,0.029714,1087975.99,0.50,631962.18,23.50,1855435.87,588678.77,0.00,0.00,0.00,56287.59,2246769.10,0.00,0.00,0.00,1145,0,32,14371.59,1430.71,0.818924,1,0,0,0,0,0
1771599650209,67138.50,0.1489,0.264373,14.8086,4650917.81,537168.59,0.792922,1719143.01,0.50,270875.09,22.50,2641829.12,2009088.69,0.00,0.00,0.00,1709.47,501740.11,33719.01,0.00,0.00,1145,488,34,14411.87,1516.65,0.809568,1,0,1,0,1,0
1771599650763,67172.50,0.7444,0.269879,15.1031,1458603.67,4531574.23,-0.513002,441169.22,25.50,876457.98,22.50,7954.57,1009479.88,441169.22,0.00,0.00,434802.35,4096771.88,0.00,0.00,0.00,0,0,68,22342.79,101565.03,-0.639364,1,1,0,1,0,0
