ts,mid,spread_bps,trend_bps_per_sec,trend_angle_deg,bid_pressure_total_usd,ask_pressure_total_usd,pressure_imbalance,strongest_bid_usd,strongest_bid_dist_usd,strongest_ask_usd,strongest_ask_dist_usd,bid_p_0_10,bid_p_10_25,bid_p_25_50,bid_p_50_100,bid_p_100_200,ask_p_0_10,ask_p_10_25,ask_p_25_50,ask_p_50_100,ask_p_100_200,burst_count_3s,burst_buy_usd_3s,burst_sell_usd_3s,burst_imbalance_3s,target_ok_long,target_ok_short,pressure_ok_long,pressure_ok_short,in_long_hint,in_short_hint
1771599607699,67065.50,0.1491,0.251584,14.1216,935314.20,4191646.87,-0.635139,483854.54,21.50,1462523.69,0.50,717.54,934596.66,0.00,0.00,0.00,2495553.02,1696093.86,0.00,0.00,0.00,3,20.12,28.17,-0.166678,0,1,0,1,0,0
1771599608241,67053.50,0.1491,0.129555,7.3818,1933447.94,7784725.00,-0.602096,275072.58,12.50,1769718.16,12.50,528442.70,1405005.24,0.00,0.00,0.00,3456467.96,4328257.04,0.00,0.00,0.00,33,20.12,32498.59,-0.998763,0,0,0,1,0,0
1771599608787,67053.50,0.1491,0.048235,2.7615,2247592.31,3232843.87,-0.179776,561700.30,0.50,789079.11,12.50,1155467.85,1092124.46,0.00,0.00,0.00,1703840.13,1529003.75,0.00,0.00,0.00,33,20.12,32498.59,-0.998763,0,0,0,1,0,0
1771599609369,67053.50,0.1491,-0.007608,-0.4359,2018628.01,2385981.85,-0.083402,245207.88,14.50,789099.23,12.50,804542.42,1214085.59,0.00,0.00,0.00,796478.90,1589502.96,0.00,0.00,0.00,34,52.31,32487.86,-0.996785,0,0,0,0,0,0
1771599609907,67053.50,0.1491,-0.046044,-2.6363,1173058.79,2774776.84,-0.405721,202829.48,17.50,581687.42,0.50,354647.54,818411.25,0.00,0.00,0.00,1094302.56,1680474.28,0.00,0.00,0.00,40,126328.39,32499.93,0.590754,0,0,0,1,0,0
1771599610455,67050.50,0.1491,-0.084594,-4.8354,858224.70,10801816.62,-0.852792,176383.98,18.50,2884468.42,1.50,81063.21,777161.49,0.00,0.00,0.00,8432710.35,2369106.27,0.00,0.00,0.00,47,126343.15,32711.81,0.588673,0,0,0,1,0,0
1771599610984,67047.50,1.0440,-0.122204,-6.9672,804795.69,11550525.04,-0.869725,245042.91,28.50,2870579.94,4.50,1111.53,450892.28,352791.88,0.00,0.00,9496016.26,2054508.78,0.00,0.00,0.00,52,126343.15,35168.52,0.564508,0,1,0,1,0,1
1771599611538,67041.00,1.1933,-0.169759,-9.6346,1292960.37,9080400.92,-0.750715,263803.71,24.00,2852472.54,11.00,224098.01,884781.26,184081.10,0.00,0.00,365768.53,8714632.40,0.00,0.00,0.00,26,126723.32,2992.41,0.953862,0,1,0,1,0,1
1771599612098,67044.50,0.1492,-0.193472,-10.9499,3375989.47,1107736.66,0.505886,827870.04,0.50,242770.34,19.50,1969128.12,1406861.36,0.00,0.00,0.00,171280.37,897522.83,38933.46,0.00,0.00,26,126691.14,74505.56,0.259376,0,0,1,0,0,0
1771599612653,67045.50,0.1492,-0.206957,-11.6927,5003849.93,1644470.48,0.505297,2086009.30,0.50,287790.40,18.50,3612877.80,1390972.12,0.00,0.00,0.00,105398.14,1258425.81,280646.53,0.00,0.00,21,649.73,74493.49,-0.982707,0,0,1,0,0,0
1771599613161,67049.50,0.1491,-0.205628,-11.6197,6074060.90,1646098.51,0.573558,1494439.74,0.50,287790.40,14.50,4451710.23,1622350.66,0.00,0.00,0.00,149233.17,1496865.34,0.00,0.00,0.00,16,411.02,74304.41,-0.988998,0,0,1,0,0,0
1771599613675,67049.50,0.1491,-0.202958,-11.4728,4522692.82,1724648.15,0.447878,1595135.94,0.50,287790.40,14.50,2854146.23,1668546.59,0.00,0.00,0.00,129434.04,1595214.11,0.00,0.00,0.00,16,411.02,74313.79,-0.988999,0,0,1,0,0,0
1771599614266,67049.50,0.1491,-0.199096,-11.2601,3121744.38,1578043.27,0.328462,770324.62,0.50,297900.54,21.50,1464936.68,1656807.70,0.00,0.00,0.00,187583.51,1390459.76,0.00,0.00,0.00,9,30.84,71857.09,-0.999142,1,0,1,0,0,0
1771599614778,67049.50,0.1491,-0.194656,-11.0152,3333040.01,1610443.09,0.348458,830157.14,0.50,297900.54,21.50,1513992.71,1819047.30,0.00,0.00,0.00,154016.57,1456426.51,0.00,0.00,0.00,9,567.24,485.43,0.077713,1,0,1,0,0,0
1771599615281,67049.50,0.1491,-0.189865,-10.7505,3163995.91,1558457.67,0.339980,748095.87,0.50,220075.42,11.50,1279295.36,1884700.55,0.00,0.00,0.00,568684.72,989772.96,0.00,0.00,0.00,10,606.13,485.43,0.110571,0,0,1,0,0,0
1771599615882,67052.50,0.1491,-0.179351,-10.1680,4705790.60,1891873.56,0.426502,958884.50,0.50,414990.56,19.50,3289876.08,1415914.53,0.00,0.00,0.00,300742.06,1591131.51,0.00,0.00,0.00,10,606.13,485.43,0.110572,0,0,1,0,0,0
1771599616489,67052.50,0.1491,-0.169483,-9.6192,4183609.97,1127326.20,0.575470,1715191.50,0.50,183498.77,16.50,2202572.34,1981037.62,0.00,0.00,0.00,81617.92,1045708.28,0.00,0.00,0.00,8,610.16,453.25,0.147549,0,0,1,0,0,0
1771599617012,67065.50,0.1491,-0.140382,-7.9911,12983302.10,201202.94,0.969479,3795302.11,13.50,112660.23,32.50,3278393.41,9704908.69,0.00,0.00,0.00,260.22,7315.04,193627.68,0.00,0.00,21,1164.72,498.18,0.400834,1,0,1,0,0,0
1771599617543,67079.50,0.1491,-0.095248,-5.4409,4202918.32,878790.89,0.654136,1371440.35,14.50,185589.71,18.50,1547804.82,2655113.50,0.00,0.00,0.00,5577.09,702883.59,170330.21,0.00,0.00,39,3162.89,498.18,0.727852,0,0,1,0,0,0
1771599618135,67079.50,0.1491,-0.056928,-3.2582,4002312.94,1170311.44,0.547498,1739844.12,0.50,347307.97,25.50,2465565.80,1536747.15,0.00,0.00,0.00,55993.80,767009.67,347307.97,0.00,0.00,34,2587.60,65.05,0.950956,1,0,1,0,0,0
1771599619147,67090.50,0.1491,-0.008184,-0.4689,11819320.62,1002964.39,0.843559,2395211.99,11.50,275247.86,22.50,7268142.08,4551178.54,0.00,0.00,0.00,1675.46,1001288.94,0.00,0.00,0.00,47,8667.18,136.15,0.969068,1,0,1,0,0,0
1771599619667,67102.50,0.1490,0.047217,2.7033,7811363.16,1743624.03,0.635034,2339575.21,11.50,283008.14,10.50,3317470.48,4493892.69,0.00,0.00,0.00,578828.55,1164795.48,0.00,0.00,0.00,63,15997.34,91.23,0.988659,0,0,1,0,0,0
1771599620274,67102.50,0.1490,0.093418,5.3370,2016923.76,1754783.70,0.069502,847005.73,0.50,276219.11,19.50,1012751.68,1004172.09,0.00,0.00,0.00,680795.81,1073987.89,0.00,0.00,0.00,37,13961.97,167.05,0.976353,0,0,0,0,0,0
1771599620780,67102.50,0.1490,0.131664,7.5007,1707783.79,1941150.98,-0.063955,392225.28,0.50,282300.31,0.50,536338.25,1171445.54,0.00,0.00,0.00,861363.12,1079787.86,0.00,0.00,0.00,36,13961.97,146.93,0.979172,0,0,0,0,0,0
1771599621296,67102.50,0.1490,0.163416,9.2810,2960838.21,1022660.26,0.486552,723044.85,0.50,321175.41,19.50,1369697.02,1591141.19,0.00,0.00,0.00,45345.83,977314.43,0.00,0.00,0.00,37,13961.97,367.02,0.948772,0,0,1,0,0,0
1771599621819,67116.50,0.1490,0.203756,11.5167,12822016.09,286982.60,0.956216,2660813.72,14.50,123467.60,24.50,6871467.39,5950548.71,0.00,0.00,0.00,1306.85,285675.75,0.00,0.00,0.00,49,16636.44,346.90,0.959148,1,0,1,0,1,0
1771599622381,67117.50,0.1490,0.238523,13.4157,9310791.98,1263514.54,0.761022,4524001.25,0.50,318898.58,16.50,6867557.39,2443234.58,0.00,0.00,0.00,1179.34,1262335.20,0.00,0.00,0.00,40,10721.94,316.05,0.942733,0,0,1,0,0,0
1771599623447,67125.50,0.1490,0.275393,15.3972,4298508.94,2161033.71,0.330902,2595277.37,0.50,603944.43,19.50,3537941.17,760567.77,0.00,0.00,0.00,207709.97,1953323.74,0.00,0.00,0.00,36,5272.76,602.70,0.794840,0,0,1,0,0,0
1771599623997,67125.50,0.1490,0.305882,17.0079,4480525.69,588934.04,0.767654,2165388.06,0.50,200304.20,21.50,2941986.25,1538539.44,0.00,0.00,0.00,12571.50,576362.54,0.00,0.00,0.00,36,5272.76,602.70,0.794840,1,0,1,0,1,0
1771599624514,67126.50,0.1490,0.331881,18.3600,7733023.05,970149.38,0.777058,4492488.10,0.50,283911.42,19.50,6261595.95,1471427.10,0.00,0.00,0.00,1603.80,968545.58,0.00,0.00,0.00,43,5494.28,34318.83,-0.723996,0,0,1,0,0,0
1771599625021,67126.50,0.1490,0.353325,19.4596,4710497.84,757828.35,0.722830,2179989.35,0.50,242770.13,18.50,2984350.79,1726147.05,0.00,0.00,0.00,1805.20,756023.14,0.00,0.00,0.00,28,2721.88,34318.83,-0.853033,0,0,1,0,0,0
1771599625623,67126.00,0.2979,0.370515,20.3304,1152005.11,3213612.18,-0.472237,315086.84,24.00,1006968.77,1.00,113966.20,1038038.92,0.00,0.00,0.00,1597280.68,1616331.50,0.00,0.00,0.00,20,2087.60,34545.05,-0.886025,0,1,0,1,0,0
